// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

547,499,100	// White_Slim_Potion
14500,32,100	// Insurance60
14508,32,100	// Zeny_Scroll
14509,32,100	// Light_Center_Pot
14510,32,100	// Light_Awakening_Pot
14511,32,100	// Light_Berserk_Pot
14512,32,100	// Meteor_10_Scroll
14513,32,100	// Storm_10_Scroll
14514,32,100	// Vermilion_10_Scroll
14515,32,100	// Lex_Aeterna_Scroll
14516,32,100	// Magnificat_5_Scroll
14517,32,100	// CP_Helm_Scroll
14518,32,100	// CP_Shield_Scroll
14519,32,100	// CP_Armor_Scroll
14520,32,100	// CP_Weapon_Scroll
14521,32,100	// Repair_Scroll
14522,32,100	// Big_Bun
14523,32,100	// Pill_
14524,32,100	// Superb_Fish_Slice
14525,32,100	// Chewy_Ricecake
14526,32,100	// Oriental_Pastry
14527,32,100	// Dun_Tele_Scroll1
14528,32,100	// PVP_Tele_Scroll
14530,32,100	// Flee_30_Scroll
14531,32,100	// Accuracy_30_Scroll
14532,32,100	// Battle_Manual25
14533,32,100	// Battle_Manual100
14533,32,100	// Battle_Manual100
14534,32,100	// Small_Life_Potion
14535,32,100	// Med_Life_Potion
14536,32,100	// Abrasive
14537,32,100	// Regeneration_Potion
14538,32,100	// Glass_Of_Illusion
14539,32,100	// Shadow_Armor_S
14540,32,100	// Holy_Armor_S
14541,32,100	// S_Def_Potion
14542,32,100	// B_Def_Potion
14543,32,100	// S_Mdef_Potion
14544,32,100	// B_Mdef_Potion
14545,32,100	// Battle_Manual_X3
14546,32,100	// Fire_Cracker_Love
14547,32,100	// Fire_Cracker_Wday
14548,32,100	// Fire_Cracker_Valentine
14549,32,100	// Fire_Cracker_Bday
14550,32,100	// Fire_Cracker_Xmas
14551,32,100	// Str_Dish01_
14552,32,100	// Str_Dish02_
14553,32,100	// Str_Dish03_
14554,32,100	// Int_Dish01_
14555,32,100	// Int_Dish02_
14556,32,100	// Int_Dish03_
14557,32,100	// Vit_Dish01_
14558,32,100	// Vit_Dish02_
14559,32,100	// Vit_Dish03_
14560,32,100	// Agi_Dish01_
14561,32,100	// Agi_Dish02_
14562,32,100	// Agi_Dish03_
14563,32,100	// Dex_Dish01_
14564,32,100	// Dex_Dish02_
14565,32,100	// Dex_Dish03_
14566,32,100	// Luk_Dish01_
14567,32,100	// Luk_Dish02_
14568,32,100	// Luk_Dish03_
14569,32,100	// Knife_Goblin_Ring
14570,32,100	// Flail_Goblin_Ring
14571,32,100	// Hammer_Goblin_Ring
14572,32,100	// Holy_Marble
14573,32,100	// Red_Burning_Stone
14575,32,100	// Str_Dish05_
14576,32,100	// Int_Dish05_
14577,32,100	// Vit_Dish05_
14578,32,100	// Agi_Dish05_
14579,32,100	// Dex_Dish05_
14580,32,100	// Luk_Dish05_
14581,32,100	// Dun_Tele_Scroll2
14582,32,100	// WOB_Rune
14583,32,100	// WOB_Schwaltz
14584,32,100	// WOB_Rachel
14585,32,100	// WOB_Local
14586,32,100	// Spark_Candy
14587,32,100	// Repair_Scroll_
14588,32,100	// Pty_Blessing_Scroll
14589,32,100	// Pty_Inc_Agi_Scroll
14590,32,100	// Pty_Assumptio_Scroll
14591,32,100	// Siege_Teleport_Scroll
14591,32,100	// Siege_Teleport_Scroll
14592,32,100	// Job_Manual50
14593,32,100	// Magic_Power_Scroll
14594,32,100	// Quagmire_Scroll
14597,32,100	// PhreeoniS
14598,32,100	// GhostringS
14599,32,100	// Greed_Scroll_C
14600,32,100	// Mental_Potion
14601,32,100	// Tyr's_Blessing
14602,32,100	// TaogunkaS
14603,32,100	// MistressS
14604,32,100	// Orc_HeroS
14605,32,100	// Orc_LoadS
14606,32,100	// Job_Manual25
14611,32,100	// M_Def_Potion
14612,32,100	// M_Mdef_Potion
14613,32,100	// RWC_Scroll_2012
14614,32,100	// Ex_Def_Potion
14616,32,100	// STR_Biscuit_Stick
14617,32,100	// VIT_Biscuit_Stick
14618,32,100	// AGI_Biscuit_Stick
14619,32,100	// INT_Biscuit_Stick
14620,32,100	// DEX_Biscuit_Stick
14621,32,100	// LUK_Biscuit_Stick
14623,32,100	// Golden_Treasure_Box
14627,32,100	// Christmas_Scroll
14628,32,100	// Costume_Festival_Box
14663,32,100	// Scroll_Sealed_Dark_Lord
14672,48,100	// Steel_Fighter_Scroll_Lv20
14673,48,100	// Steel_Fighter_Scroll_Lv25
14675,32,100	// Shadow_Box_II
14679,32,100	// Article_Sealed_Storm_Scroll
14682,32,100	// Sealed_Beelzebub_Scroll
14689,32,100	// Sealed_Kiel-D-01_Scroll
14696,32,100	// Sealed_Gloom_Under_Night_Gachapon
14704,32,100	// Gemstone_Shadow_Box
14705,32,100	// Sealed_Fallen_Bishop_Hibram_Scroll
14713,32,100	// Sealed_Ifrit_Scroll
14717,32,100	// 2013_RWC_Scroll
14718,32,100	// Scroll_Turtle_General_Sealed
14723,32,100	// (Limited)Neuralizer_I
14724,32,100	// (Limited)Neuralizer_II
14725,32,100	// Sealed_Bacsojin_Scroll
14726,32,100	// Grid_Shadow_Box
14727,32,100	// Heal_Shadow_Box
14728,32,100	// Hiding_Shadow_Box
14729,32,100	// Cloaking_Shadow_Box
14730,32,100	// Costume_Festival_Box_II
14731,32,100	// Teleport_Shadow_Box
14732,32,100	// Steal_Shadow_Box
14733,32,100	// Sealed_Pharaoh_Scroll
14739,32,100	// Sealed_General_Egnigem_Cenia_Scroll
14740,32,100	// Sealed_Vesper_Scroll
14758,32,100	// Safe_To_Smelting_Scroll
14765,32,100	// Limited_Edition_JOB_Battle_Manual
//14766,32,100	//
15007,40,100	// Time_Keepr_Robe
15009,8,100	// Para_Team_Uniform1
15010,8,100	// Para_Team_Uniform2
15011,8,100	// Para_Team_Uniform3
15031,8,100	// Para_Team_Armor
//15062,8,100	//
//15063,8,100	//
//15064,8,100	//
15116,40,100	// Armor_Of_Airship
15141,40,100	// Ancient_Armor_Of_The_Goddess
16004,8,100	// P_Mace1
16005,8,100	// P_Mace2
16006,8,100	// Tourist_Mace
16014,8,100	// P_Mace3
16023,8,100	// Metal_Mace
//16025,8,100	//
16038,40,100	// Infinity_Mace
//16100,32,100	//
//16101,32,100	//
//16102,32,100	//
//16103,32,100	//
//16104,32,100	//
//16105,32,100	//
//16106,32,100	//
//16107,32,100	//
//16108,32,100	//
//16109,32,100	//
//16110,32,100	//
//16111,32,100	//
//16112,32,100	//
//16113,32,100	//
//16114,32,100	//
//16115,32,100	//
//16116,32,100	//
//16117,32,100	//
//16118,32,100	//
//16119,32,100	//
//16120,32,100	//
//16121,32,100	//
//16122,32,100	//
//16123,32,100	//
//16124,32,100	//
//16125,32,100	//
//16126,32,100	//
//16127,32,100	//
//16128,32,100	//
//16129,32,100	//
//16130,32,100	//
16131,32,100	// Lady_Tanee_Doll_Box
16132,32,100	// Lunatic_Hat_Box
16133,32,100	// G_Staff_Of_Light_Box
16134,32,100	// King_Frog_Hat_Box
16135,32,100	// Evil's_Bone_Hat_Box
//16136,32,100	//
//16137,32,100	//
//16138,32,100	//
//16139,32,100	//
//16140,32,100	//
//16141,32,100	//
//16142,32,100	//
//16143,32,100	//
//16144,32,100	//
//16145,32,100	//
//16146,32,100	//
//16147,32,100	//
//16148,32,100	//
//16149,32,100	//
//16150,32,100	//
//16151,32,100	//
//16152,32,100	//
//16153,32,100	//
//16154,32,100	//
//16155,32,100	//
//16156,32,100	//
//16157,32,100	//
//16158,32,100	//
//16159,32,100	//
//16160,32,100	//
//16161,32,100	//
//16162,32,100	//
//16163,32,100	//
//16164,32,100	//
//16165,32,100	//
//16166,32,100	//
//16167,32,100	//
//16168,32,100	//
//16169,32,100	//
//16170,32,100	//
//16171,32,100	//
//16172,32,100	//
//16173,32,100	//
//16174,32,100	//
//16175,32,100	//
//16176,32,100	//
//16177,32,100	//
//16178,32,100	//
//16179,32,100	//
//16180,32,100	//
//16181,32,100	//
//16182,32,100	//
//16183,32,100	//
//16184,32,100	//
16185,32,100	// Raven_Cap_Box
16186,32,100	// B_Dragon_Hat_Box
//16187,32,100	//
//16188,32,100	//
//16189,32,100	//
//16190,32,100	//
//16191,32,100	//
16192,32,100	// Quati_Hat_Box
16193,32,100	// Tucan_Hat_Box
16194,32,100	// Jaguar_Hat_Box
//16220,32,100	//
//16221,32,100	//
//16222,32,100	//
//16223,32,100	//
//16224,32,100	//
//16225,32,100	//
16226,32,100	// Aries_Diadem_Box
16227,32,100	// Aries_Crown_Box
16228,32,100	// RJC_Katusa_Box
16229,32,100	// Scarlet_Rose_Box
16229,32,100	// Scarlet_Rose_Box
16230,32,100	// Taurus_Diadem_Box
16231,32,100	// Taurus_Crown_Box
16232,98,100	// Reginleif_Box
16235,32,100	// Octopus_Hat_Box
16236,32,100	// Leaf_Cat_Hat_Box
16237,32,100	// Fur_Seal_Hat_Box
16238,32,100	// Wild_Rose_Hat_Box
//16240,32,100	//
//16241,32,100	//
//16242,32,100	//
//16243,32,100	//
16246,32,100	// Crown_Of_Deceit_Box
16247,32,100	// Dragon_Arhat_Mask_Box
16248,32,100	// Tiger_Arhat_Mask_Box
16251,32,100	// Gemini_Diadem_Box
16252,32,100	// Gemini_Crown_Box
16254,32,100	// Energizing_Potion_Box
//16255,32,100	//
//16256,506,100	//
16258,32,100	// HD_Bradium_5_Box
16259,32,100	// HD_Carnium_5_Box
16260,32,100	// HD_Bradium_10_Box
16261,32,100	// HD_Carnium_10_Box
16262,32,100	// HD_Bradium_5_Box2
16263,32,100	// HD_Carnium_5_Box2
16264,32,100	// HD_Bradium_10_Box2
16265,32,100	// HD_Carnium_10_Box2
//16271,32,100	//
//16272,32,100	//
//16273,32,100	//
//16274,32,100	//
//16275,32,100	//
//16276,32,100	//
//16277,32,100	//
//16278,32,100	//
//16279,32,100	//
//16280,32,100	//
//16281,32,100	//
//16282,32,100	//
//16283,32,100	//
//16284,32,100	//
//16285,32,100	//
//16286,32,100	//
//16287,32,100	//
//16288,32,100	//
//16289,32,100	//
//16290,32,100	//
//16291,32,100	//
//16292,32,100	//
//16293,32,100	//
//16294,32,100	//
//16295,32,100	//
//16296,32,100	//
//16297,32,100	//
//16298,32,100	//
//16299,32,100	//
//16300,32,100	//
//16301,32,100	//
//16302,32,100	//
//16303,32,100	//
16304,32,100	// Evil_Incarnation
16305,32,100	// Upg_Guard_Box
16306,32,100	// F_Upg_Guard_Box
16307,32,100	// Upg_Buckler_Box
16308,32,100	// F_Upg_Buckler_Box
16309,32,100	// Upg_Shield_Box
16310,32,100	// F_Upg_Shield_Box
16311,32,100	// Upg_Shoes_Box
16312,32,100	// F_Upg_Shoes_Box
16313,32,100	// Upg_Boots_Box
16314,32,100	// F_Upg_Boots_Box
16315,32,100	// Upg_Greave_Box
16316,32,100	// F_Upg_Greave_Box
16317,32,100	// Upg_Hood_Box
16318,32,100	// F_Upg_Hood_Box
16319,32,100	// Upg_Muffler_Box
16320,32,100	// F_Upg_Muffler_Box
16321,32,100	// Upg_Manteau_Box
16322,32,100	// F_Upg_Manteau_Box
16323,32,100	// Upg_Clip_Box
16324,32,100	// F_Upg_Clip_Box
//16325,32,100	//
//16326,32,100	//
16327,32,100	// Upg_Adv_Suit_Box
16328,32,100	// F_Upg_Adv_Suit_Box
16329,32,100	// Upg_Coat_Box
16330,32,100	// F_Upg_Coat_Box
16331,32,100	// Upg_Saint_Robe_Box
16332,32,100	// F_Upg_Saint_Robe_Box
16333,32,100	// Upg_Tights_Box
16334,32,100	// F_Upg_Tights_Box
16335,32,100	// Upg_Thief_Cloth_Box
16336,32,100	// F_Upg_Thief_Cloth_Box
16337,32,100	// Upg_Mail_Box
16338,32,100	// F_Upg_Mail_Box
16339,32,100	// Upg_Formal_Dress_Box
16340,32,100	// F_Upg_Formal_Dress_Box
//16347,32,100	//
//16348,32,100	//
//16349,32,100	//
//16350,32,100	//
//16351,32,100	//
//16352,32,100	//
//16353,32,100	//
//16354,32,100	//
//16355,32,100	//
//16356,32,100	//
//16357,32,100	//
//16358,32,100	//
//16358,32,100	//
16360,32,100	// Desert_Prince_Box
16361,32,100	// FDesert_Prince_Box
16362,32,100	// Sigrun's_Wing_Box
16363,32,100	// FSigrun's_Wing_Box
16368,32,100	// Virgo_Crown_Box
//16369,32,100	//
//16370,32,100	//
16372,32,100	// F_Clover_Box_Mouth
//16373,32,100	//
16374,32,100	// Mouth_Bubble_Gum_Box
//16375,32,100	//
16378,32,100	// Siege_Tele_Scroll_Box_30
16379,32,100	// Siege_Teleport_Scroll_Silver_10Box
16380,32,100	// Siege_Teleport_Scroll_Silver_30Box
16381,32,100	// WoE_Teleport_Scroll_100_Box
16382,32,100	// WoE_Teleport_Scroll_30_Box
//16383,32,100	//
//16384,32,100	//
16385,32,100	// F_Clover_Box_Mouth2
16386,32,100	// F_Clover_Box_Mouth4
//16387,32,100	//
//16388,32,100	//
16389,32,100	// BGum_Box_In_Mouth2
16390,32,100	// BGum_Box_In_Mouth4
//16391,32,100	//
//16392,32,100	//
16393,32,100	// HD_Ori_Box5
16394,32,100	// HD_Ori_Box10
16395,32,100	// HD_Elu_Box5
16396,32,100	// HD_Elu_Box10
16397,32,100	// Virgo_Diadem_Box
16398,32,100	// Virgo_Crown_Box
16399,32,100	// Virgo_Diadem_Box
//16400,32,100	//
//16401,32,100	//
//16402,32,100	//
//16403,32,100	//
//16407,32,100	//
//16408,32,100	//
//16432,32,100	//
//16433,32,100	//
//16434,32,100	//
//16435,32,100	//
//16442,32,100	//
//16443,32,100	//
//16444,32,100	//
//16445,32,100	//
16447,32,100	// Scorpio_Crown_Box
16448,32,100	// Scorpio_Diadem_Box
16449,32,100	// Scorpio_Crown_Box
16450,32,100	// FScorpio_Diadem_Box
//16452,32,100	//
//16453,32,100	//
//16454,32,100	//
//16455,32,100	//
//16467,32,100	//
//16468,32,100	//
//16469,32,100	//
//16470,32,100	//
16481,32,100	// Small_Life_Potion_Box_10
16483,32,100	// Abrasive_Box_10
16504,32,100	// Bubble_Gum_Box(10)
16505,32,100	// Steamed_Tongue_Box_10
16506,32,100	// Steamed_Desert_Scorpions_Box_10
16507,32,100	// Dragon_Breath_Cocktail_Box_10
16508,32,100	// Hwergelmir's_Tonic_Box_10
16509,32,100	// Cooked_Nine_Tail_Box_10
16510,32,100	// Immortal_Stew_Box_10
16514,32,100	// Blessing_Scroll_Box_10
16515,32,100	// Increase_Agility_Scroll_Box_10
16543,32,100	// Snowman_Hat_Box
16544,32,100	// FSnowman_Hat_Box
16555,32,100	// Pr_Reset_Stone_Box
//16573,32,100	//
//16574,32,100	//
//16580,32,100	//
//16581,32,100	//
//16596,32,100	//
//16597,32,100	//
16598,32,100	// Activation_Potion_Box_II
//16599,32,100	//
16625,32,100	// Half_Asprika_box7
//16626,32,100	//
//16627,32,100	//
16628,32,100	// Brynhild_Box
//16629,32,100	//
//16630,32,100	//
//16634,32,100	//
//16635,32,100	//
//16636,32,100	//
//16637,32,100	//
16638,32,100	// Life_Ribbon_Box
16639,32,100	// Life_Ribbon_Box2
16640,32,100	// Life_Ribbon_Box3
//16641,32,100	//
//16642,32,100	//
//16643,32,100	//
//16644,32,100	//
//16645,32,100	//
//16646,32,100	//
//16647,32,100	//
//16648,32,100	//
//16649,32,100	//
//16650,32,100	//
//16651,32,100	//
16655,32,100	// Rapid_Life_Potion_10_Box
//16656,32,100	//
//16657,32,100	//
16658,32,100	// Rapid_Water_Box(10)
//16660,32,100	//
//16661,32,100	//
//16662,32,100	//
//16663,32,100	//
16666,32,100	// Magic_Candy_Box10
//16667,32,100	//
//16671,32,100	//
//16672,32,100	//
16677,32,100	// Universal_Catalog_Gold_Box10
16678,32,100	// Universal_Catalog_Gold_Box50
16679,32,100	// Universal_Catalog_Gold_Box10
16680,32,100	// Universal_Catalog_Gold_Box50
16682,32,100	// Boarding_Halter_Box
16683,32,100	// B_Halter_Box_30Days
//16689,32,100	//
//16690,32,100	//
16740,32,100	// Protection_Seagod_Box
16741,32,100	// Hairtail_Box1
16742,32,100	// Hairtail_Box2
16743,32,100	// Spearfish_Box1
16744,32,100	// Spearfish_Box2
16745,32,100	// Saurel_Box1
16746,32,100	// Saurel_Box2
16747,32,100	// Tuna_Box1
16748,32,100	// Tuna_Box2
16749,32,100	// Malang_Crab_Box1
16750,32,100	// Malang_Crab_Box2
16751,32,100	// Brindle_Eel_Box1
16752,32,100	// Brindle_Eel_Box2
//16758,32,100	//
//16759,32,100	//
16760,32,100	// Umbala_Spirit_Box2
16761,32,100	// F_Umbala_Spirit_Box2
//16762,32,100	//
16763,32,100	// Ptotection_Seagod_Box2
16764,32,100	// Ptotection_Seagod_Box3
16765,32,100	// Octo_Hstick_Box
16766,32,100	// Octo_Hstick_Box2
16767,32,100	// Octo_Hstick_Box3
16770,32,100	// Silvervine_Fruit_Box10
16771,32,100	// Silvervine_Fruit_Box40
16776,32,100	// Universal_Catalog_Gold_Box10
16777,32,100	// Universal_Catalog_Gold_Box50
//16778,32,100	//
//16779,32,100	//
//16780,32,100	//
//16781,32,100	//
//16782,32,100	//
//16783,32,100	//
//16784,32,100	//
//16785,32,100	//
//16786,32,100	//
//16787,32,100	//
//16788,32,100	//
//16789,32,100	//
//16790,32,100	//
//16791,32,100	//
//16792,32,100	//
//16793,32,100	//
//16794,32,100	//
//16795,32,100	//
//16796,32,100	//
//16797,32,100	//
//16798,32,100	//
//16799,32,100	//
//16800,32,100	//
//16801,32,100	//
//16802,32,100	//
//16803,32,100	//
//16804,32,100	//
//16805,32,100	//
//16806,32,100	//
//16807,32,100	//
//16808,32,100	//
//16809,32,100	//
//16810,32,100	//
//16811,32,100	//
//16812,32,100	//
//16813,32,100	//
//16814,32,100	//
//16815,32,100	//
//16816,32,100	//
//16817,32,100	//
//16818,32,100	//
//16819,32,100	//
//16820,32,100	//
16821,32,100	// Dungeon_Teleport_Scroll_Box_5
16822,32,100	// Dungeon_Teleport_Scroll_Box_10
//16823,32,100	//
//16824,32,100	//
//16825,32,100	//
//16827,32,100	//
//16828,32,100	//
//16829,32,100	//
//16830,32,100	//
//16831,32,100	//
//16832,32,100	//
//16833,32,100	//
//16834,32,100	//
//16835,32,100	//
//16836,32,100	//
16837,32,100	// Dungeon_Teleport_Scroll_II_Box_5
16838,32,100	// Dungeon_Teleport_Scroll_II_Box_10
//16839,32,100	//
//16840,32,100	//
//16841,32,100	//
//16843,32,100	//
//16844,32,100	//
//16845,32,100	//
//16846,32,100	//
//16847,32,100	//
//16848,32,100	//
//16849,32,100	//
//16850,32,100	//
//16851,32,100	//
//16852,32,100	//
//16853,32,100	//
//16854,32,100	//
//16855,32,100	//
//16856,32,100	//
//16857,32,100	//
//16858,32,100	//
//16859,32,100	//
//16860,32,100	//
//16861,32,100	//
//16862,32,100	//
//16863,32,100	//
16864,32,100	// Siege_Map_Teleport_Scroll_Box_10
16865,32,100	// Siege_Map_Teleport_Scroll_Box_30
16866,32,100	// Siege_Map_Teleport_Scroll_II_Box_10
16867,32,100	// Siege_Map_Teleport_Scroll_II_Box_30
//16868,32,100	//
//16869,32,100	//
//16870,32,100	//
//16871,32,100	//
//16872,32,100	//
//16873,32,100	//
//16874,32,100	//
//16875,32,100	//
//16876,32,100	//
//16877,32,100	//
//16878,32,100	//
//16879,32,100	//
//16880,32,100	//
//16881,32,100	//
//16882,32,100	//
//16883,32,100	//
//16884,32,100	//
//16885,32,100	//
//16886,32,100	//
//16887,32,100	//
//16888,32,100	//
//16889,32,100	//
//16890,32,100	//
//16891,32,100	//
//16892,32,100	//
//16893,32,100	//
//16894,32,100	//
//16895,32,100	//
//16896,32,100	//
//16897,32,100	//
//16898,32,100	//
//16899,32,100	//
//16900,32,100	//
//16901,32,100	//
//16902,32,100	//
//16903,32,100	//
//16904,32,100	//
//16905,32,100	//
//16906,32,100	//
//16907,32,100	//
//16908,32,100	//
//16909,32,100	//
//16910,32,100	//
//16911,32,100	//
//16912,32,100	//
//16913,32,100	//
//16914,32,100	//
//16915,32,100	//
//16916,32,100	//
//16917,32,100	//
//16918,32,100	//
//16919,32,100	//
//16920,32,100	//
//16921,32,100	//
//16922,32,100	//
//16923,32,100	//
//16924,32,100	//
//16925,32,100	//
//16926,32,100	//
//16927,32,100	//
//16928,32,100	//
//16929,32,100	//
//16930,32,100	//
//16931,32,100	//
//16932,32,100	//
//16933,32,100	//
//16934,32,100	//
//16935,32,100	//
//16936,32,100	//
//16937,32,100	//
//16938,32,100	//
//16939,32,100	//
//16940,32,100	//
//16941,32,100	//
//16942,32,100	//
//16943,32,100	//
//16944,32,100	//
//16945,32,100	//
//16946,32,100	//
//16947,32,100	//
//16948,32,100	//
//16949,32,100	//
//16950,32,100	//
//16951,32,100	//
//16952,32,100	//
//16953,32,100	//
//16954,32,100	//
//16955,32,100	//
//16956,32,100	//
//16957,32,100	//
//16958,32,100	//
//16959,32,100	//
//16960,32,100	//
//16961,32,100	//
//16962,32,100	//
//16963,32,100	//
//16964,32,100	//
//16965,32,100	//
//16966,32,100	//
//16967,32,100	//
//16968,32,100	//
//16969,32,100	//
//16970,32,100	//
//16971,32,100	//
16972,32,100	// Weather_Report_Box
16973,32,100	// Yellow_Hat_Box
16974,32,100	// Comin_Actor_Box
16975,32,100	// Singing_Bird_Box
16976,32,100	// Hen_Set_Box
16977,32,100	// Red_Minicrown_Box
//16978,32,100	//
16979,32,100	// Silvervine_Fruit_Box4
16995,32,100	// Old_Hat_Box
16998,32,100	// Archangel_Wing_Box
16999,32,100	// Bravery_Bag_Box
17013,32,100	// Malang_Woe_Encard_Box
17014,32,100	// Butterfly_ear_Box
17015,32,100	// Stuckhead_Screw_Box
//17027,32,100	//
17037,32,100	// Trans_Box_Devi
17038,32,100	// Trans_Box_Ray_Arch
17039,32,100	// Trans_Box_Mavka
17040,32,100	// Trans_Box_Marduk
17041,32,100	// Trans_Box_Banshee
17042,32,100	// Trans_Box_Poring
17043,32,100	// Trans_Box_Golem
//17044,32,100	//
//17045,32,100	//
//17046,32,100	//
//17065,32,100	//
17084,32,100	// Upg_Katar_Box
17085,32,100	// Upg_Two_Handed_Axe_Box
17086,32,100	// Upg_Lance_Box
17087,32,100	// Upg_Book_Box
17088,32,100	// Upg_Staff_Box
17089,32,100	// Upg_Dagger_Box
17090,32,100	// Upg_Revolver_Box
17091,32,100	// Upg_Mace_Box
17092,32,100	// Upg_Bow_Box
17093,32,100	// Upg_Twohand_Sword_Box
17094,32,100	// Upg_Katar_Box2
17095,32,100	// Upg_Two_Handed_Axe_Box2
17096,32,100	// Upg_Lance_Box2
//17097,32,100	//
//17098,32,100	//
//17099,32,100	//
//17100,32,100	//
//17101,32,100	//
//17102,32,100	//
//17103,32,100	//
17106,32,100	// Max_Weight_Up_10Box
17118,32,100	// ASPD_Potion_Box10
17122,32,100	// Immuned_Shield_Box
17123,32,100	// Black_Devil_Mask_Box
17126,32,100	// ASPD_Potion_Box10_2
//17135,32,100	//
//17136,32,100	//
//17137,32,100	//
//17144,32,100	//
//17153,32,100	//
//17154,32,100	//
17155,32,100	// Upg_Huuma_Shuriken_Box
17159,32,100	// Name_Change_Box
17160,32,100	// Character_Name_Change_Card_Box
//17163,32,100	//
//17164,32,100	//
//17166,32,100	//
//17171,32,100	//
//17172,32,100	//
//17173,32,100	//
//17174,32,100	//
//17175,32,100	//
17176,32,100	// Boarding_Halter_Box3
//17177,32,100	//
//17178,32,100	//
//17179,32,100	//
//17180,32,100	//
//17182,32,100	//
//17193,32,100	//
//17194,32,100	//
//17195,32,100	//
//17196,32,100	//
//17197,32,100	//
//17198,32,100	//
//17200,32,100	//
//17201,32,100	//
//17202,32,100	//
//17205,32,100	//
//17206,32,100	//
//17224,32,100	//
17226,32,100	// Infinite_Concentration_Potion
17227,32,100	// Infinite_Awakening_Potion
17228,32,100	// Infinite_Berserk_Potion
17229,32,100	// Infinite_Flywing_Box
17231,32,100	// Refinement_Ore_Box
17232,32,100	// Refinement_box(7)
17241,32,100	// Amistr_Cap_Box
17244,32,100	// Event_Almighty_Box
17246,32,100	// HD_Elunium_Box(30)
17247,32,100	// HD_Oridecon_Box(30)
17251,32,100	// C_Wing_Of_Fly_3Day_Box
17252,32,100	// RWC_2012_Set_Box
17253,32,100	// RWC_2012_Ring_Box
17254,32,100	// RWC_2012_Pendant_Box
17262,32,100	// Ex_Def_Potion_Box
17263,32,100	// Infinite_Concentration_Potion_3rd_Box
17264,32,100	// Infinite_Awakening_Potion_3rd_Box
17265,32,100	// Infinite_Berserk_Potion_3rd_Box
17266,32,100	// Limited_Battle_Manual_Package
17270,32,100	// STR_Biscuit_Stick_Box
17271,32,100	// VIT_Biscuit_Stick_Box
17272,32,100	// AGI_Biscuit_Stick_Box
17273,32,100	// INT_Biscuit_Stick_Box
17274,32,100	// DEX_Biscuit_Stick_Box
17275,32,100	// LUK_Biscuit_Stick_Box
17277,32,100	// Unlimited_Box
17278,32,100	// Unlimited_Box(10)
//17279,32,100	//
17281,32,100	// Refinement_Ore_Box_IV
17282,32,100	// Refinement_Ore_Box_IV(10)
17283,32,100	// Refinement_Ore_Box_IV(20)
//17284,32,100	//
17285,32,100	// Events_Beauty_Gift_Box
//17286,32,100	//
//17287,32,100	//
//17288,32,100	//
17292,32,100	// Shadow_Box
17293,32,100	// Shadow_Physical_Package
17294,32,100	// Shadow_Magical_Package
17298,32,100	// Support_Package
17299,32,100	// Support_Package(10)
17302,32,100	// Shadow_Box_II_
17303,32,100	// Shadow_Set_Box_II
17304,32,100	// Neuralizer_Box_3
17306,32,100	// Status_Reset_Coupon_Box
17314,32,100	// Infinite_Giant_Fly_Wing_Box
17315,32,100	// Lucky_Silvervine_Fruit_Box(10)
17316,32,100	// Lucky_Silvervine_Fruit_Box(110)
17321,32,100	// Three_Master_Package
17322,32,100	// Three_Master_Package(10)
17331,32,100	// Event_Almighty_Box
17332,32,100	// Event_Almighty_Box(100)
17338,32,100	// Ore_Box_V
17339,32,100	// Ore_Box_V(10)
17429,32,100	// 11_Anniversary_Shadow_Box
17430,32,100	// 11_Anniversary_Shadow_Package
17432,32,100	// Lucky_Silvervine_Fruit_Box_II(10)
17433,32,100	// Lucky_Silvervine_Fruit_Box_II(110)
17438,32,100	// Three_Master_Package_II
17439,32,100	// Three_Master_Package_II10
17440,32,100	// Name_Change_Card_Box
17441,32,100	// Halter_Lead_Box
17442,32,100	// Emperium_G_Box
17443,32,100	// Reinforcement_Buckler_Box
17449,32,100	// Cookies_Bar_Set
17455,32,100	// Premium_Battle_Manual_Box
17456,32,100	// Support_Package_II
17457,32,100	// Support_Package_II(10)
17465,32,100	// Refinement_Ore_Box_VI
17466,32,100	// Refinement_Ore_Box_VI(10)
17467,32,100	// (Limited)_Token_of_Ziegfried_Box(50)
17468,32,100	// Neuralizer_II_Box_3
17469,32,100	// Neuralizer_I_Box
17472,32,100	// Support_Package_III
17473,32,100	// Support_Package_III(10)
17474,32,100	// Infinite_Giant_Fly_Wing_Box_V
17475,32,100	// (Limited)Gym_Membership_Card_Box(10)
17477,32,100	// Unlimited_Box_II
17478,32,100	// Unlimited_Box_II(10)
17483,32,100	// Three_Master_Package_III
17484,32,100	// Three_Master_Package_III(10)
17491,32,100	// Refinement_Ore_Box_VII
17492,32,100	// Refinement_Ore_Box_VII(10)
